No.     Test1	Test2	As1	As2	As3	Final
168613	41.5	20.8	14	24	25	43
171661	15	7.5	0	0	0	0
174107	40.5	20.3	25	14	0	21
175752	43.5	21.8	24	14	25	31
176360	25	12.5	14	24	25	53
176509	22.5	11.3	4	14	25	8
176545	33	16.5	2	24	25	36
176661	45.5	22.8	24	24	25	48
176806	27.5	13.8	24	24	25	50
176843	25	12.5	25	0	25	34
176914	13.5	6.8	25	24	25	32
177010	11	5.5	24	24	25	57
177295	48	24.0	15	24	25	49.5
177533	32.5	16.3	14	0	25	61.5
177617	13	6.5	4	14	25	57.5
177633	15.5	7.8	25	14	25	35
177773	17.5	8.8	24	14	25	53.5
177776	20	10.0	24	24	25	63
177829	33	16.5	25	24	25	49
177968	29.5	14.8	24	24	25	55
178032	32	16.0	24	24	25	55
178079	10.5	5.3	25	14	25	39
178183	34	17.0	15	25	25	73
178187	17	8.5	14	24	25	56.5
178405	19	9.5	24	24	25	53
178663	20.5	10.3	24	24	25	60
